"name","category","total_net_sales","total_qty","order_type"
Tomato Sauce Gyeran-Mari,entree,890.86,49,pick-up
Hongcho Soju Ball,alcohol,871.89,71,dine-in
Golbaengi Muchim,entree,868.5,30,pick-up
Fried Mandu,sides,861.3,72,delivery
Milkis,non-alcohol,855.14,300,dine-in
Premium Soju Set,alcohol,850.77,23,dine-in
Chestnut Makgeolli (밤막걸리),alcohol,767.52,48,dine-in
Grilled Soy & Butter Squid,entree,691.43,42,delivery
Udon Noodles,sides,662.2,224,dine-in
Spicy Soft Tofu Jeongol with Beef,soup & jeongol,648.23,24,delivery
Chungha (청하),alcohol,641.59,41,dine-in
Extra cheese,sides,639.06,216,dine-in
Honey Iced Blended Makgeolli,alcohol,616.77,65,dine-in
Yuzu Soju Ball,alcohol,597.54,46,dine-in
White Rice,sides,594.89,218,delivery
Cheese Gyeran-Mari,entree,587.24,39,pick-up
Kimchi Fried Rice,sides,567.02,36,pick-up
Banana Milk,non-alcohol,553.15,185,dine-in
Bonbon Grape Juice,non-alcohol,539.29,271,dine-in
Donkatsu,entree,535.09,31,delivery
Whole Fried Squid,entree,516.64,23,delivery
French Fries,sides,494.51,65,delivery
Korean Pear Juice,non-alcohol,477.6,240,dine-in
Maksa,alcohol,464.69,31,dine-in
Stir-Fried Seafood,entree,458.15,17,pick-up
Stawberry Makgeolli(딸기막걸리),alcohol,431.73,27,dine-in
Perrier water,non-alcohol,429.21,79,dine-in
Spicy Mussel Soup,soup & jeongol,428.74,17,delivery
Stir-fried Udon with Brisket,entree,406.21,18,pick-up
Spicy Soft Tofu Jeongol with Beef,soup & jeongol,380.37,13,pick-up
Fried Mandu,sides,373.61,29,pick-up
Seafood Soft Tofu Jjigae,soup & jeongol,373.32,20,pick-up
Mandu with Cheese,entree,356.9,22,pick-up
Egg Soup,soup & jeongol,351.26,31,pick-up
볶음밥 Fried Rice,sides,339.15,57,pick-up
Mandu with Cheese,entree,314.21,21,delivery
Seafood Soft Tofu Jjigae,soup & jeongol,311.74,17,delivery
Spicy Mussel Soup,soup & jeongol,309.31,12,pick-up
Ssotonic Soju Ball,alcohol,282.17,23,dine-in
Green grape makgeolli(청포도막걸리),alcohol,271.83,17,dine-in
화요 (hwayo),alcohol,244.93,7,dine-in
Gesal-Gyeran Tang,soup & jeongol,243.15,17,pick-up
Plum Wine(매실주),alcohol,223.86,14,dine-in
Grilled Soy & Butter Squid,entree,220.35,13,pick-up
Soju,alcohol,197.83,17,delivery
고기전 Gogi Jeon,sides,191.4,12,pick-up
White Rice,sides,174.35,89,pick-up
Diet Coke,non-alcohol,173.57,55,delivery
Milkis,non-alcohol,167.58,53,delivery
소면사리 Thin Noodles,sides,165.5,56,dine-in
Dokdo,alcohol,160.95,5,dine-in
French Fries,sides,159.8,20,pick-up
"Gambas al Ajillo ""Garlic Shrimp""",entree,158.29,9,delivery
